,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
550,Manhattan,1979,96 min,7.9,83        ,"136,076",$45.70M,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
551,All That Jazz,1979,123 min,7.9,72        ,"29,621",$37.82M,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
552,Dawn of the Dead,1978,127 min,7.9,71        ,"115,116",$5.10M,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall."
553,La montaña sagrada,1973,114 min,7.9,76        ,"39,612",$0.06M,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
554,Amarcord,1973,123 min,7.9,,"41,467",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
555,Le charme discret de la bourgeoisie,1972,102 min,7.9,93        ,"40,716",$0.20M,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
556,"Aguirre, der Zorn Gottes",1972,95 min,7.9,,"54,503",,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado."
557,Harold and Maude,1971,91 min,7.9,62        ,"74,498",,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
558,Patton,1970,172 min,7.9,91        ,"98,004",$61.70M,The World War II phase of the career of controversial American general George S. Patton.
559,The Wild Bunch,1969,145 min,7.9,97        ,"81,289",$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
560,Đêm Của Những Thây Ma,1968,96 min,7.9,89        ,"121,040",$0.09M,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.
561,The Lion in Winter,1968,134 min,7.9,,"30,134",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him."
