,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
385,Vozvrashchenie,2003,110 min,8.0,82        ,"44,021",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
386,Bom yeoreum gaeul gyeoul geurigo bom,2003,103 min,8.0,85        ,"79,884",$2.38M,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
387,Mar adentro,I) (,126 min,8.0,74        ,"79,480",$2.09M,"The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die."
388,Cinderella Man,2005,144 min,8.0,69        ,"180,606",$61.65M,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
389,Vô Gian Đạo,2002,101 min,8.0,75        ,"120,791",$0.17M,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
390,Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,2003,143 min,8.0,63        ,"1,041,061",$305.41M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
391,Big Fish,2003,125 min,8.0,58        ,"425,961",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.
392,Gia Đình Siêu Nhân,2004,115 min,8.0,90        ,"678,165",$261.44M,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
393,Yeopgijeogin geunyeo,2001,137 min,8.0,,"46,642",,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
394,Dogville,2003,178 min,8.0,60        ,"143,029",$1.53M,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
395,Vizontele,2001,110 min,8.0,,"35,012",,Lives of residents in a small Anatolian village change when television is introduced to them
396,Donnie Darko,2001,113 min,8.0,88        ,"761,008",$1.48M,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
397,Magnolia,1999,188 min,8.0,77        ,"298,318",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
398,Dancer in the Dark,2000,140 min,8.0,61        ,"105,524",$4.18M,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film."
399,The Straight Story,1999,112 min,8.0,86        ,"86,226",$6.20M,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
400,Pâfekuto burû,1997,81 min,8.0,,"64,537",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
401,Central do Brasil,1998,110 min,8.0,80        ,"37,912",$5.60M,"An emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew."
402,The Iron Giant,1999,86 min,8.0,85        ,"179,193",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
403,Sling Blade,1996,135 min,8.0,84        ,"90,902",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
404,Secrets & Lies,1996,136 min,8.0,91        ,"40,989",$13.42M,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
405,Twelve Monkeys,1995,129 min,8.0,74        ,"594,031",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
406,Kôkaku Kidôtai,1995,83 min,8.0,76        ,"134,644",$0.52M,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
407,The Nightmare Before Christmas,1993,76 min,8.0,82        ,"308,338",$75.08M,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
408,Groundhog Day,1993,101 min,8.0,72        ,"593,855",$70.91M,A weatherman finds himself inexplicably living the same day over and over again.
409,Bound by Honor,1993,180 min,8.0,47        ,"29,818",$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
410,Scent of a Woman,1992,156 min,8.0,59        ,"276,756",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
411,Aladdin,1992,90 min,8.0,86        ,"385,141",$217.35M,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
412,JFK,1991,189 min,8.0,72        ,"147,616",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
413,Người Đẹp Và Quái Vật,1991,84 min,8.0,95        ,"426,841",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
414,Khieu Vu Voi Bay Soi,1990,181 min,8.0,72        ,"249,050",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military."
415,Do the Right Thing,1989,120 min,8.0,93        ,"95,192",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
416,Rain Man,1988,133 min,8.0,65        ,"488,139",$178.80M,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
417,Akira,1988,124 min,8.0,,"172,711",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
418,Der Himmel über Berlin,1987,128 min,8.0,79        ,"67,523",$3.33M,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.
419,Au revoir les enfants,1987,104 min,8.0,88        ,"32,461",$4.54M,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret."
420,Tenkû no shiro Rapyuta,1986,125 min,8.0,78        ,"156,439",,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
421,Sacrifice,1986,149 min,8.0,,"26,265",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
422,Kẻ Hủy Diệt,1984,107 min,8.0,84        ,"818,320",$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
423,Pink Floyd: The Wall,1982,95 min,8.0,47        ,"78,270",$22.24M,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
424,Gandhi,1982,191 min,8.0,79        ,"223,126",$52.77M,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
425,Kagemusha,1980,180 min,8.0,84        ,"33,876",,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
426,Being There,1979,130 min,8.0,83        ,"69,424",$30.18M,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics."
427,Annie Hall,1977,93 min,8.0,92        ,"257,293",$39.20M,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
428,All the President's Men,1976,138 min,8.0,84        ,"108,820",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
429,Hàm Cá Mập,1975,124 min,8.0,87        ,"561,499",$260.00M,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
430,Dog Day Afternoon,1975,125 min,8.0,86        ,"244,774",$50.00M,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
431,Young Frankenstein,1974,106 min,8.0,80        ,"149,132",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
432,Papillon,1973,151 min,8.0,58        ,"125,877",$53.27M,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape."
433,The Exorcist,1973,122 min,8.0,81        ,"374,563",$232.91M,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
434,Sleuth,1972,138 min,8.0,,"46,275",$4.08M,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
435,The Last Picture Show,1971,118 min,8.0,93        ,"44,754",$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
436,Fiddler on the Roof,1971,181 min,8.0,67        ,"41,163",$80.50M,"In pre-revolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village."
